,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
0,ATP Buenos Aires,argentina,2015-03-01,Nadal R.,Monaco J.,"Final result 2:0 (6:4, 6:1)",1.14,7.18,-5.5,1.80,2.12,+19,1.90,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-monaco-juan-fXt3iNDt/
1,ATP Buenos Aires,argentina,2015-02-28,Nadal R.,Berlocq C.,"Final result 2:0 (7:67, 6:2)",1.11,8.71,-5.5,1.84,2.09,+19,1.93,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-berlocq-carlos-vZmjVm47/
2,ATP Buenos Aires,argentina,2015-02-28,Monaco J.,Almagro N.,"Final result 2:1 (6:3, 66:7, 6:4)",2.63,1.56,+3,1.98,1.93,+22,1.91,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/monaco-juan-almagro-nicolas-ro12Fp8h/
3,ATP Buenos Aires,argentina,2015-02-28,Nadal R.,Delbonis F.,"Final result 2:0 (6:1, 6:1)",1.10,9.35,-5.5,2.00,1.91,+19.5,1.90,2.01,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-delbonis-federico-UPVAMKb0/
4,ATP Buenos Aires,argentina,2015-02-27,Berlocq C.,Rola B.,"Final result 2:0 (6:1, 6:3)",1.33,3.75,-4,2.01,1.90,+21.5,1.96,1.94,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/berlocq-carlos-rola-blaz-lvje6Ig5/
5,ATP Buenos Aires,argentina,2015-02-27,Almagro N.,Robredo T.,"Final result 2:0 (6:3, 6:2)",1.67,2.38,-2.5,2.03,1.85,+22.5,1.93,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/almagro-nicolas-robredo-tommy-xKS6K8EF/
6,ATP Buenos Aires,argentina,2015-02-27,Monaco J.,Cuevas P.,"Final result 2:1 (7:61, 64:7, 6:4)",2.10,1.84,-0.5,2.00,1.85,+22,1.98,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/monaco-juan-cuevas-pablo-Wrw1IE1c/
7,ATP Buenos Aires,argentina,2015-02-27,Olivo R.,Robredo T.,"Final result 0:2 (1:6, 2:6)",4.00,1.29,+4,1.89,2.01,+22,1.95,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/olivo-renzo-robredo-tommy-be2n50HC/
8,ATP Buenos Aires,argentina,2015-02-26,Almagro N.,Ramos A.,"Final result 2:0 (6:3, 6:4)",1.36,3.44,-4,2.03,1.80,+22,1.88,2.01,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/almagro-nicolas-ramos-vinolas-albert-MifKIDn5/
9,ATP Buenos Aires,argentina,2015-02-26,Bagnis F.,Rola B.,"Final result 0:2 (2:6, 1:6)",2.25,1.73,+1.5,2.02,1.84,+22,2.01,1.89,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bagnis-facundo-rola-blaz-2mNg2h2O/
10,ATP Buenos Aires,argentina,2015-02-26,Fognini F.,Berlocq C.,"Final result 0:2 (3:6, 0:6)",1.72,2.25,-2.5,2.00,1.86,+22,1.99,1.87,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/fognini-fabio-berlocq-carlos-EafNB5ZK/
11,ATP Buenos Aires,argentina,2015-02-26,Nadal R.,Arguello F.,"Final result 2:0 (6:4, 6:0)",1.03,17.50,-7,1.98,1.91,+17,1.85,2.04,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-arguello-facundo-dOaICoKE/
12,ATP Buenos Aires,argentina,2015-02-25,Mayer L.,Monaco J.,"Final result 0:2 (4:6, 4:6)",1.88,2.02,-1,1.99,1.88,+22,1.88,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/mayer-leonardo-monaco-juan-KA24Re52/
13,ATP Buenos Aires,argentina,2015-02-25,Andreozzi G.,Cuevas P.,"Final result 0:2 (64:7, 1:6)",4.38,1.26,+4.5,1.98,1.91,+20,1.90,1.99,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andreozzi-guido-cuevas-pablo-hEX921d7/
14,ATP Buenos Aires,argentina,2015-02-25,Lorenzi P.,Delbonis F.,"Final result 0:2 (4:6, 2:6)",2.80,1.50,+3,2.05,1.82,+21.5,1.95,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/lorenzi-paolo-delbonis-federico-Stg1hmbJ/
15,ATP Buenos Aires,argentina,2015-02-25,Andujar-Alba P.,Almagro N.,"Final result 1:2 (3:6, 6:3, 2:6)",3.36,1.38,+4,1.91,1.94,+21,1.89,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andujar-alba-pablo-almagro-nicolas-EuEErkWo/
16,ATP Buenos Aires,argentina,2015-02-24,Cecchinato M.,Bagnis F.,"Final result 1:2 (6:4, 5:7, 3:6)",1.96,1.93,-1.5,1.99,1.86,+21.5,1.88,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/cecchinato-marco-bagnis-facundo-z3WiaI4C/
17,ATP Buenos Aires,argentina,2015-02-24,Andreozzi G.,Molteni A.,"Final result 2:0 (6:2, 6:2)",1.46,2.89,-3.5,1.95,1.90,+21,1.95,1.90,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andreozzi-guido-molteni-andres-4xydbxKI/
