,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
18,ATP Buenos Aires,argentina,2015-02-24,Zeballos H.,Ramos A.,"Final result 0:2 (4:6, 1:6)",2.61,1.55,+2.5,1.96,1.89,+22,1.92,1.93
19,ATP Buenos Aires,argentina,2015-02-24,Schwartzman D.,Berlocq C.,"Final result 0:2 (3:6, 3:6)",2.20,1.74,+1,1.97,1.85,+22,1.99,1.86
20,ATP Buenos Aires,argentina,2015-02-24,Arguello F.,Montanes A.,"Final result 2:0 (6:3, 6:2)",2.47,1.60,+2.5,1.99,1.87,+21.5,1.95,1.90
21,ATP Buenos Aires,argentina,2015-02-24,Delbonis F.,Carreno-Busta P.,"Carreno-Busta P. retired (7:62, 3:0)",1.72,2.23,-2.5,1.97,1.85,+22,1.97,1.88
22,ATP Buenos Aires,argentina,2015-02-24,Rola B.,Vesely J.,"Final result 2:0 (6:4, 6:3)",3.90,1.29,+4,1.91,1.94,+21.5,1.92,1.93
23,ATP Buenos Aires,argentina,2015-02-24,Nieminen J.,Olivo R.,"Final result 1:2 (63:7, 7:5, 0:6)",1.57,2.55,-3,2.03,1.79,+22,1.96,1.89
24,ATP Buenos Aires,argentina,2015-02-24,Gonzalez M.,Monaco J.,"Final result 0:2 (2:6, 2:6)",3.62,1.33,+4,2.04,1.83,+21.5,1.93,1.93
25,ATP Buenos Aires,argentina,2015-02-23,Mayer L.,Robert S.,"Final result 2:0 (6:0, 6:1)",1.18,5.47,-5,2.05,1.81,+20,1.93,1.93
26,ATP Buenos Aires,argentina,2015-02-23,Arguello F.,Collarini A.,"Final result 2:1 (4:6, 6:2, 6:1)",1.61,2.40,none,none,none,none,none,none
27,ATP Buenos Aires,argentina,2015-02-23,Cecchinato M.,Duran G.,"Final result 2:0 (6:1, 7:60)",1.18,5.20,none,none,none,none,none,none
28,ATP Buenos Aires,argentina,2015-02-23,Lorenzi P.,Bellucci T.,"Final result 2:1 (6:4, 65:7, 6:1)",2.53,1.58,+3,1.94,1.91,+21,1.89,1.92
29,ATP Buenos Aires,argentina,2015-02-23,Bagnis F.,Monteiro T.,"Final result 2:1 (7:5, 5:7, 6:2)",1.48,2.75,none,none,none,none,none,none
30,ATP Buenos Aires,argentina,2015-02-23,Molteni A.,Volandri F.,"Volandri F. retired (2:6, 7:5, 0:0)",2.68,1.50,none,none,none,none,none,none
31,ATP Buenos Aires,argentina,2015-02-22,Volandri F.,Lama G.,"Final result 2:0 (6:0, 6:3)",1.38,3.17,none,none,none,none,none,none
32,ATP Buenos Aires,argentina,2015-02-22,Quinzi G.,Monteiro T.,"Final result 0:2 (3:6, 4:6)",1.79,2.09,none,none,none,none,none,none
33,ATP Buenos Aires,argentina,2015-02-22,Bagnis F.,Velotti A.,"Final result 2:1 (4:6, 6:2, 6:4)",1.25,4.14,none,none,none,none,none,none
34,ATP Buenos Aires,argentina,2015-02-22,Carballes Baena R.,Molteni A.,"Final result 1:2 (2:6, 6:4, 64:7)",1.33,3.50,none,none,none,none,none,none
35,ATP Buenos Aires,argentina,2015-02-22,Arguello F.,Dellien H.,"Dellien H. retired (6:3, 3:1)",1.32,3.55,none,none,none,none,none,none
36,ATP Buenos Aires,argentina,2015-02-22,Clezar G.,Collarini A.,"Final result 0:2 (5:7, 3:6)",1.59,2.45,none,none,none,none,none,none
37,ATP Buenos Aires,argentina,2015-02-22,Bahamonde F.,Duran G.,"Final result 1:2 (0:6, 6:4, 3:6)",3.76,1.29,none,none,none,none,none,none
38,ATP Buenos Aires,argentina,2015-02-22,Cecchinato M.,Garin Ch.,"Final result 2:0 (7:5, 6:1)",1.71,2.20,none,none,none,none,none,none
39,ATP Buenos Aires,argentina,2015-02-21,Bagnis F.,Doria L.,"Final result 2:0 (6:1, 6:0)",1.05,12.20,none,none,none,none,none,none
40,ATP Buenos Aires,argentina,2015-02-21,Paz J. P.,Velotti A.,"Final result 0:2 (4:6, 4:6)",3.01,1.41,none,none,none,none,none,none
41,ATP Buenos Aires,argentina,2015-02-21,Quinzi G.,Silva D. R.,"Final result 2:0 (6:4, 6:4)",1.74,2.16,none,none,none,none,none,none
42,ATP Buenos Aires,argentina,2015-02-21,Monteiro T.,Pella G.,"Final result 2:1 (7:61, 3:6, 6:2)",4.02,1.27,none,none,none,none,none,none
43,ATP Buenos Aires,argentina,2015-02-21,Arguello F.,Feitt F.,"Final result 2:0 (6:1, 6:1)",1.03,15.09,none,none,none,none,none,none
44,ATP Buenos Aires,argentina,2015-02-21,Iliev J. I.,Clezar G.,"Final result 0:2 (1:6, 0:6)",21.40,1.01,none,none,none,none,none,none
45,ATP Buenos Aires,argentina,2015-02-21,Collarini A.,Jarry N.,"Final result 2:0 (6:3, 7:5)",2.80,1.47,none,none,none,none,none,none
46,ATP Buenos Aires,argentina,2015-02-21,Kim Y.,Dellien H.,"Final result 1:2 (6:1, 3:6, 67:7)",4.97,1.19,none,none,none,none,none,none
47,ATP Buenos Aires,argentina,2015-02-21,Perez Mota M.,Lama G.,"Final result 0:2 (3:6, 3:6)",10.30,1.06,none,none,none,none,none,none
48,ATP Buenos Aires,argentina,2015-02-21,Buchhass M. R.,Volandri F.,Buchhass M. R. retired (2:3),10.64,1.06,none,none,none,none,none,none
49,ATP Buenos Aires,argentina,2015-02-21,Molteni A.,Cachin P.,"Final result 2:1 (6:1, 3:6, 6:4)",none,none,none,none,none,none,none,none
50,ATP Buenos Aires,argentina,2015-02-21,Carballes Baena R.,Casanova H.,"Final result 2:0 (6:2, 6:1)",1.05,11.26,none,none,none,none,none,none
51,ATP Buenos Aires,argentina,2015-02-21,Duran G.,Trungelliti M.,"Final result 2:0 (6:3, 6:1)",4.82,1.20,none,none,none,none,none,none
52,ATP Buenos Aires,argentina,2015-02-21,Cecchinato M.,Rondina M.,"Final result 2:0 (6:0, 6:2)",1.02,17.21,none,none,none,none,none,none
53,ATP Buenos Aires,argentina,2015-02-21,Matute J. M.,Bahamonde F.,"Final result 1:2 (3:6, 7:5, 2:6)",3.81,1.29,none,none,none,none,none,none
54,ATP Buenos Aires,argentina,2015-02-21,Garin Ch.,Alund M.,"Alund M. retired (6:3, 3:0)",2.01,1.85,none,none,none,none,none,none
